日付,クリック数,表示回数,CTR,掲載順位
2025-11-22,899,39436,2.28%,7.7
2025-11-23,991,45128,2.2%,7.9
2025-11-24,1865,62046,3.01%,7.3
2025-11-25,1872,64226,2.91%,6.7
2025-11-26,1874,68089,2.75%,7.2
2025-11-27,2471,71511,3.46%,6.9
2025-11-28,1474,53065,2.78%,7.5
2025-11-29,1230,48104,2.56%,8.1
2025-11-30,2238,66568,3.36%,7.1
2025-12-01,2079,68493,3.04%,6.6
2025-12-02,1980,68734,2.88%,7.6
2025-12-03,1866,67852,2.75%,8.8
2025-12-04,1801,68598,2.63%,9
2025-12-05,1236,54877,2.25%,11.8
2025-12-06,935,45812,2.04%,9.5
2025-12-07,1514,63761,2.37%,7.9
2025-12-08,1576,68620,2.3%,8.3
2025-12-09,1750,73012,2.4%,8.1
2025-12-10,1615,72855,2.22%,10.1
2025-12-11,1676,78242,2.14%,13
2025-12-12,1108,57245,1.94%,9.3
2025-12-13,993,52657,1.89%,9.8
2025-12-14,1626,72657,2.24%,8.9
2025-12-15,1654,80201,2.06%,9
2025-12-16,1651,74668,2.21%,8.9
2025-12-17,1648,76187,2.16%,8.6
2025-12-18,1856,89893,2.06%,8.8
2025-12-19,1239,64959,1.91%,10.1
2025-12-20,1057,62756,1.68%,10.4
2025-12-21,1715,71307,2.41%,8.4
2025-12-22,1607,72241,2.22%,8.3
2025-12-23,1852,78936,2.35%,8.9
2025-12-24,1756,87684,2%,10.2
2025-12-25,2123,82336,2.58%,8.6
2025-12-26,1339,60003,2.23%,9
2025-12-27,1102,54796,2.01%,9.3
2025-12-28,1809,56583,3.2%,8.5
2025-12-29,1426,59676,2.39%,9.3
2025-12-30,998,56904,1.75%,11.1
2025-12-31,617,43309,1.42%,10.8
2026-01-01,705,46552,1.51%,11.5
2026-01-02,844,47682,1.77%,9.7
2026-01-03,1093,54784,2%,9.8
2026-01-04,2517,81757,3.08%,8.9
2026-01-05,2330,86928,2.68%,8.2
2026-01-06,1984,81504,2.43%,7.7
2026-01-07,1968,84670,2.32%,9.4
2026-01-08,1973,81880,2.41%,8.6
2026-01-09,1298,64528,2.01%,9.8
2026-01-10,1089,58087,1.87%,9
2026-01-11,1120,61802,1.81%,9.3
2026-01-12,1679,77985,2.15%,8
2026-01-13,1704,81370,2.09%,8.1
2026-01-14,1729,85573,2.02%,8.5
2026-01-15,1649,79862,2.06%,8.3
2026-01-16,1251,70567,1.77%,10.4
2026-01-17,1068,62265,1.72%,9.4
2026-01-18,1548,84040,1.84%,9.2
2026-01-19,1693,91948,1.84%,8.1
2026-01-20,1709,93028,1.84%,8.8
2026-01-21,1467,86306,1.7%,9.2
2026-01-22,1523,87428,1.74%,9.1
2026-01-23,1135,67181,1.69%,8.2
2026-01-24,1106,64650,1.71%,9.2
2026-01-25,1685,87835,1.92%,8.6
2026-01-26,1718,91232,1.88%,8
2026-01-27,1630,92956,1.75%,8.3
2026-01-28,1703,94169,1.81%,9.1
2026-01-29,2446,93549,2.61%,8.4
2026-01-30,1701,81299,2.09%,8.9
2026-01-31,1416,73803,1.92%,8.4
2026-02-01,2169,90492,2.4%,8.1
2026-02-02,2012,94664,2.13%,8.1
2026-02-03,1929,91661,2.1%,7.7
2026-02-04,1929,86502,2.23%,7.4
2026-02-05,1759,93099,1.89%,10
2026-02-06,1192,70043,1.7%,8.9
2026-02-07,1390,69045,2.01%,8.5
2026-02-08,1656,82017,2.02%,8.7
2026-02-09,1809,88863,2.04%,8
2026-02-10,1448,75378,1.92%,9
2026-02-11,1552,77760,2%,8.2
2026-02-12,1629,73362,2.22%,7.5
2026-02-13,1170,60108,1.95%,7.2
2026-02-14,1128,59289,1.9%,7.3
2026-02-15,1593,74957,2.13%,7.1
2026-02-16,1666,78873,2.11%,6.6
2026-02-17,1430,74363,1.92%,6.7
2026-02-18,1440,73397,1.96%,7.1
2026-02-19,1609,75676,2.13%,7.2
2026-02-20,1240,66935,1.85%,7.3
2026-02-21,1119,66542,1.68%,7.6
