Rank,URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score
1,https://jo-katsu.com/campus/6369/,980,73094,1.34,3.1,10.0,+8.66,6329,6330
2,https://jo-katsu.com/campus/6194/,320,44036,0.73,3.2,10.0,+9.27,4083,4082
3,https://jo-katsu.com/campus/10673/,1387,205190,0.68,8.1,2.5,+1.82,3742,3734
4,https://jo-katsu.com/campus/24326/,275,33255,0.83,3.3,10.0,+9.17,3050,3049
5,https://jo-katsu.com/campus/24216/,1621,62491,2.59,3.8,7.0,+4.41,2753,2756
6,https://jo-katsu.com/campus/10837/,105,25179,0.42,3.0,10.0,+9.58,2412,2412
7,https://jo-katsu.com/campus/5504/,384,34778,1.10,3.9,7.0,+5.90,2050,2052
8,https://jo-katsu.com/campus/23844/,123,28863,0.43,3.7,7.0,+6.57,1897,1896
9,https://jo-katsu.com/campus/24336/,86,16215,0.53,3.0,10.0,+9.47,1535,1536
10,https://jo-katsu.com/campus/10412/,192,23745,0.81,3.6,7.0,+6.19,1470,1470
11,https://jo-katsu.com/campus/6380/,1323,27304,4.85,3.1,10.0,+5.15,1407,1406
12,https://jo-katsu.com/campus/11959/,265,15734,1.68,3.1,10.0,+8.32,1308,1309
13,https://jo-katsu.com/campus/5163/,30,24693,0.12,4.6,5.0,+4.88,1204,1205
14,https://jo-katsu.com/campus/12883/,11,17146,0.06,3.7,7.0,+6.94,1189,1190
15,https://jo-katsu.com/campus/19278/,57,15641,0.36,4.0,7.0,+6.64,1037,1039
16,https://jo-katsu.com/campus/10701/,54,14909,0.36,3.7,7.0,+6.64,989,990
17,https://jo-katsu.com/campus/10397/,138,11217,1.23,3.4,10.0,+8.77,983,984
18,https://jo-katsu.com/campus/10167/,77,10034,0.77,3.1,10.0,+9.23,926,926
19,https://jo-katsu.com/campus/15102/,46,9144,0.50,3.2,10.0,+9.50,868,869
20,https://jo-katsu.com/campus/26714/,100,12471,0.80,3.8,7.0,+6.20,772,773
21,https://jo-katsu.com/campus/6292/,261,14266,1.83,4.2,7.0,+5.17,737,738
