URL,Clicks,Impressions,CTR%,Position,Expected_CTR%,CTR_Gap%,Potential_Additional_Clicks,Priority_Score,Prev_Clicks,Prev_Impressions,Prev_CTR%,Prev_Position,Click_Change,Position_Change
https://malna.co.jp/blog/phone_number_search_site/,349,53937,0.65,3.1,10.19,9.54,5146.0,771.8,327,57639,0.57,3.3,22,0.2
https://malna.co.jp/blog/aboutlstep/,387,48613,0.8,4.7,5.93,5.13,2494.0,374.1,336,43628,0.77,4.7,51,0.0
https://malna.co.jp/blog/what_is_generation_ai/,20,8376,0.24,2.7,12.27,12.03,1008.0,151.1,32,13310,0.24,2.1,-12,-0.6
https://malna.co.jp/blog/ai_advertisement/,115,19913,0.58,4.9,5.51,4.93,982.0,147.3,187,48750,0.38,4.1,-72,-0.8
https://malna.co.jp/blog/chatgpt_plan/,76,20178,0.38,5.8,4.18,3.8,767.0,92.0,74,23411,0.32,7.3,2,1.5
https://malna.co.jp/blog/loom/,492,15953,3.08,4.6,6.14,3.06,488.0,73.2,591,15404,3.84,4.4,-99,-0.2
https://malna.co.jp/blog/aboutlstep/#L%E3%82%B9%E3%83%86%E3%83%83%E3%83%97%E3%81%AE%E4%B8%BB%E3%81%AA%E6%A9%9F%E8%83%BD,0,13682,0,5.6,4.46,4.46,610.0,73.2,1,15354,0.01,6.1,-1,0.5
https://malna.co.jp/blog/aboutlstep/#L%E3%82%B9%E3%83%86%E3%83%83%E3%83%97%E3%81%A8%E3%81%AF,1,13520,0.01,5.6,4.46,4.45,602.0,72.2,0,15250,0,6.1,1,0.5
https://malna.co.jp/blog/aboutlstep/#LINE%E5%85%AC%E5%BC%8F%E3%82%A2%E3%82%AB%E3%82%A6%E3%83%B3%E3%83%88%E3%81%A8%E3%81%AE%E9%81%95%E3%81%84,1,12046,0.01,5.5,4.6,4.59,553.0,66.3,0,10067,0,5.3,1,-0.2
https://malna.co.jp/blog/chatgpt_project_features/,414,15110,2.74,4.9,5.51,2.77,419.0,62.8,713,18238,3.91,4.1,-299,-0.8
https://malna.co.jp/blog/aboutlstep/#%E5%B0%8E%E5%85%A5%E6%96%B9%E6%B3%95%E3%81%A8%E5%88%9D%E6%9C%9F%E8%A8%AD%E5%AE%9A%E3%81%AE%E6%89%8B%E9%A0%86,0,11570,0,5.6,4.46,4.46,516.0,61.9,0,13475,0,6.2,0,0.6
https://malna.co.jp/blog/aboutlstep/#%E9%81%8B%E7%94%A8%E6%99%82%E3%81%AE%E6%B3%A8%E6%84%8F%E7%82%B9%E3%82%84%E3%82%88%E3%81%8F%E3%81%82%E3%82%8B%E3%83%88%E3%83%A9%E3%83%96%E3%83%AB%E3%81%A8%E3%81%9D%E3%81%AE%E8%A7%A3%E6%B1%BA%E7%AD%96,0,10085,0,5.5,4.6,4.6,464.0,55.7,0,8280,0,5.4,0,-0.1
https://malna.co.jp/blog/chatgpt_project_features/#ChatGPT%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E6%A9%9F%E8%83%BD%E3%81%A8%E3%81%AF%EF%BC%9F,1,9729,0.01,5.5,4.6,4.59,447.0,53.6,2,11453,0.02,4.3,-1,-1.2
https://malna.co.jp/blog/chatgpt_project_features/#ChatGPT%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E6%A9%9F%E8%83%BD%E3%81%AE%E3%83%A1%E3%83%AA%E3%83%83%E3%83%88%E3%81%A8%E6%B3%A8%E6%84%8F%E7%82%B9,0,8608,0,5.5,4.6,4.6,396.0,47.5,0,10119,0,4.3,0,-1.2
https://malna.co.jp/blog/chatgpt_project_features/#%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E6%A9%9F%E8%83%BD%E3%81%AE%E5%9F%BA%E6%9C%AC%E7%9A%84%E3%81%AA%E4%BD%BF%E3%81%84%E6%96%B9,1,7953,0.01,5.4,4.74,4.73,376.0,45.1,1,8524,0.01,4.3,0,-1.1
https://malna.co.jp/blog/chatgpt_project_features/#%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E9%80%B2%E8%A1%8C%E3%81%A7%E6%B4%BB%E8%BA%8D%EF%BC%81%E3%83%97%E3%83%AD%E3%82%B8%E3%82%A7%E3%82%AF%E3%83%88%E6%A9%9F%E8%83%BD%E3%81%AE%E6%B4%BB%E7%94%A8%E4%BA%8B%E4%BE%8B3%E9%81%B8,0,6162,0,5.4,4.74,4.74,292.0,35.0,1,6306,0.02,4.4,-1,-1.0
https://malna.co.jp/blog/chatgpt_project_features/#AI%E3%82%92%E3%80%8C%E3%83%84%E3%83%BC%E3%83%AB%E3%80%8D%E3%81%8B%E3%82%89%E3%80%8C%E6%88%90%E6%9E%9C%E3%82%92%E5%87%BA%E3%81%99%E6%AD%A6%E5%99%A8%E3%80%8D%E3%81%B8%E3%80%82,0,6144,0,5.4,4.74,4.74,291.0,34.9,0,1033,0,4.3,0,-1.1
https://malna.co.jp/blog/custom_gpts_guide_and_examples/,128,6178,2.07,4.9,5.51,3.44,213.0,31.9,137,5814,2.36,6.2,-9,1.3
https://malna.co.jp/blog/instagram_stories/,8,3212,0.25,4.7,5.93,5.68,182.0,27.4,9,3988,0.23,4.1,-1,-0.6
https://malna.co.jp/blog/idea_generation_with_chatgpt/,90,6411,1.4,6.6,3.36,1.96,126.0,15.1,72,6136,1.17,6.7,18,0.1
https://malna.co.jp/recruit/,15,722,2.08,2.4,14.04,11.96,86.0,13.0,23,866,2.66,3.6,-8,1.2
https://malna.co.jp/blog/loom/#Loom%E3%81%A8%E3%81%AF,0,1847,0,5.1,5.16,5.16,95.0,11.4,0,1765,0,4.1,0,-1.0
https://malna.co.jp/blog/loom/#Loom%E3%81%AE%E4%B8%BB%E3%81%AA%E6%A9%9F%E8%83%BD,0,1849,0,5.1,5.16,5.16,95.0,11.4,0,1768,0,4.1,0,-1.0
https://malna.co.jp/blog/loom/#Loom%E3%81%AE%E5%B0%8E%E5%85%A5%E6%96%B9%E6%B3%95,0,1849,0,5.1,5.16,5.16,95.0,11.4,2,1768,0.11,4.1,-2,-1.0
